language,adapted-concept-num,concept-number,composite-score,leipzig-jakarta-concept,concept-original-reference,IPA,page_num
agr,1,1,0.901,fire,fire,hii kɨɨ'ku,
hub,1,1,0.901,fire,fuego,jii,p169
hub,1,1,0.901,fire,fuego,jiin,p169
jiv,1,1,0.901,fire,fuego,jii,
acu,1,1,0.901,fire,fuego,ji,
agr,2,2,0.864,nose,nose,nuhi,
hub,2,2,0.864,nose,nariz,nuji/nujin,p189
jiv,2,2,0.864,nose,nariz,nuji,p474
acu,2,2,0.864,nose,nariz,nují,
acu,2,2,0.864,nose,nariz,múshu,
agr,3,3,0.832,to go,go,wɨta,
hub,3,3,0.832,to go,ir,wetsa/weamu/weta,p176
jiv,3,3,0.832,to go,ir,ashí-ak-tin/we-tin,p389
acu,3,3,0.832,to go,"ir, irse",wétin,
agr,4,4,0.831,water,water/rain,jumi,
hub,4,4,0.831,water,agua,entsa/entsan,p131
hub,4,4,0.831,water,agua,jumi/jumin,p131
jiv,4,4,0.831,water,agua,entsa,
acu,4,4,0.831,water,agua,jumi,
agr,5,5,0.817,mouth,mouth,wɨnu,
hub,5,5,0.817,mouth,boca,wene/wenen,p141
jiv,5,5,0.817,mouth,boca,wene,
acu,5,5,0.817,mouth,boca,jángke,
acu,5,5,0.817,mouth,boca (su),jangké,
acu,5,5,0.817,mouth,boca (tu),jángekem,
agr,6,6,0.808,tongue,tongue,i-dai,
hub,6,6,0.808,tongue,lengua,inai/inain,p179
jiv,6,6,0.808,tongue,lengua,iniai,p409
acu,6,6,0.808,tongue,lengua,inái,
acu,6,6,0.808,tongue,lengua,iniái,
agr,7,7,0.805,blood,blood,numpa,
hub,7,7,0.805,blood,sangre,numpa/numpan,p208
jiv,7,7,0.805,blood,sangre,numpa,p586
acu,7,7,0.805,blood,sangre,numpa,
agr,8,7,0.805,bone,bone,ukunč,
hub,8,7,0.805,bone,hueso,ukunch/ukunchin,p174
jiv,8,7,0.805,bone,hueso,ukunch',p354
acu,8,7,0.805,bone,hueso,kunch,
acu,8,7,0.805,bone,hueso,ukúnch,
agr,9,9,0.798,2nd-person singular pronoun (you),you (singular),amɨ,
hub,9,9,0.798,2nd-person singular pronoun (you),tú,ame/amina,p217
jiv,9,9,0.798,2nd-person singular pronoun (you),tú,ame,p639
acu,9,9,0.798,2nd-person singular pronoun (you),tú,áme,
agr,10,9,0.798,root,root,kagka'pɨ,
hub,10,9,0.798,root,raíz,kagkap/kagkapen,p202
jiv,10,9,0.798,root,raíz,tserup,p557
acu,10,9,0.798,root,NA,NA,
agr,11,11,0.796,to come,come,minit,
hub,11,11,0.796,to come,venir,winitsa/winamu/winit,p219
hub,11,11,0.796,to come,venir,taatsa/taamu/taata,p219
jiv,11,11,0.796,to come,venir,wini-t/taa,p655
acu,11,11,0.796,to come,venir,winítin,
