language,adapted-concept-num,concept-number,composite-score,leipzig-jakarta-concept,concept-original-reference,IPA,COGNATES,page_num,
agr,1,1,0.901,fire,fire,hii kɨɨ'ku,,,
hub,1,1,0.901,fire,fuego,jii,FIRE1,p169,
hub,1,1,0.901,fire,fuego,jiin,FIRE1,p169,
jiv,1,1,0.901,fire,fuego,jii,FIRE1,,
acu,1,1,0.901,fire,fuego,ji,FIRE1,,
agr,2,2,0.864,nose,nose,nuhi,NOSE1,,
hub,2,2,0.864,nose,nariz,nuji/nujin,NOSE1,p189,
jiv,2,2,0.864,nose,nariz,nuji,NOSE1,p474,
acu,2,2,0.864,nose,nariz,nují,NOSE1,,
acu,2,2,0.864,nose,nariz,múshu,,,
agr,3,3,0.832,to go,go,wɨta,GO1,,
hub,3,3,0.832,to go,ir,wetsa/weamu/weta,GO1,p176,
jiv,3,3,0.832,to go,ir,ashí-ak-tin/we-tin,GO1,p389,
acu,3,3,0.832,to go,"ir, irse",wétin,GO1,,
agr,4,4,0.831,water,water/rain,jumi,WATER1,,
hub,4,4,0.831,water,agua,entsa/entsan,WATER2,p131,1
hub,4,4,0.831,water,agua,jumi/jumin,WATER1,p131,
jiv,4,4,0.831,water,agua,entsa,WATER2,,
acu,4,4,0.831,water,agua,jumi,WATER1,,
agr,5,5,0.817,mouth,mouth,wɨnu,MOUTH1,,
hub,5,5,0.817,mouth,boca,wene/wenen,MOUTH1,p141,
jiv,5,5,0.817,mouth,boca,wene,MOUTH1,,
acu,5,5,0.817,mouth,boca,jángke,MOUTH1,,
acu,5,5,0.817,mouth,boca (su),jangké,MOUTH1,,
acu,5,5,0.817,mouth,boca (tu),jángekem,MOUTH1,,
agr,6,6,0.808,tongue,tongue,i-dai,TONGUE1,,
hub,6,6,0.808,tongue,lengua,inai/inain,TONGUE1,p179,
jiv,6,6,0.808,tongue,lengua,iniai,TONGUE1,p409,
acu,6,6,0.808,tongue,lengua,inái,TONGUE1,,
acu,6,6,0.808,tongue,lengua,iniái,TONGUE1,,
agr,7,7,0.805,blood,blood,numpa,BLOOD1,,
hub,7,7,0.805,blood,sangre,numpa/numpan,BLOOD1,p208,
jiv,7,7,0.805,blood,sangre,numpa,BLOOD1,p586,
acu,7,7,0.805,blood,sangre,numpa,BLOOD1,,
agr,8,7,0.805,bone,bone,ukunch,BONE1,,
hub,8,7,0.805,bone,hueso,ukunch/ukunchin,BONE1,p174,
jiv,8,7,0.805,bone,hueso,ukunch',BONE1,p354,
acu,8,7,0.805,bone,hueso,kunch,,,
acu,8,7,0.805,bone,hueso,ukúnch,BONE1,,
agr,9,9,0.798,2nd-person singular pronoun (you),you (singular),amɨ,YOU1,,
hub,9,9,0.798,2nd-person singular pronoun (you),tú,ame/amina,YOU1,p217,
jiv,9,9,0.798,2nd-person singular pronoun (you),tú,ame,YOU1,p639,
acu,9,9,0.798,2nd-person singular pronoun (you),tú,áme,YOU1,,
agr,10,9,0.798,root,root,kagka'pɨ,ROOT1,,
hub,10,9,0.798,root,raíz,kagkap/kagkapen,ROOT1,p202,
jiv,10,9,0.798,root,raíz,tserup,,p557,
acu,10,9,0.798,root,NA,NA,,,
agr,11,11,0.796,to come,come,minit,,,
hub,11,11,0.796,to come,venir,winitsa/winamu/winit,COME1,p219,
hub,11,11,0.796,to come,venir,taatsa/taamu/taata,COME2,p219,
jiv,11,11,0.796,to come,venir,taa,COME2,p655,
acu,11,11,0.796,to come,venir,winítin,COME1,,
agr,12,12,0.783,breast,breast (of woman),munchu,BREAST1,,
hub,12,12,0.783,breast,seno,muntsu/muntsun,BREAST1,p208,
jiv,12,12,0.783,breast,seno,muntsu/waa,BREAST1,p591,
acu,12,12,0.783,breast,"pecho, teta, seno",múntsu,BREAST1,,
acu,12,12,0.783,breast,pecho,netsép,NA,,
agr,13,13,0.782,rain,rain(noun),yumi,WATER1,,
hub,13,13,0.782,rain,lluvia,yumi/yumin,WATER2,p182,
jiv,13,13,0.782,rain,lluvia,yumi yutaa,WATER3,p423,
acu,13,13,0.782,rain,lluvia,júmi,WATER4,,
agr,14,14,0.776,1st-person singular pronoun (I/me),I,wi,I1,,
hub,14,14,0.776,1st-person singular pronoun (I/me),yo,wi,I1,p221,
jiv,14,14,0.776,1st-person singular pronoun (I/me),yo,wi,I1,p674,
acu,14,14,0.776,1st-person singular pronoun (I/me),yo,wíkia,NA,,
agr,15,15,0.774,name,name,daahi,NAME1,,
hub,15,15,0.774,name,nombre,naari/naarin,NAME1,p190,
jiv,15,15,0.774,name,nombre,naa,NAME1,p480,
acu,15,15,0.774,name,mi nombre,náar,NAME1,no entry for nombre,
agr,16,15,0.774,louse,louse,tɨma,LOUSE1,,
hub,16,15,0.774,louse,piojo,tema/teman,LOUSE1,p198,
jiv,16,15,0.774,louse,piojo,tema,LOUSE1,p527,
acu,16,15,0.774,louse,piojo,téma,LOUSE1,,
agr,17,17,0.773,wing,wing,nanapɨ,WING1,,
hub,17,17,0.773,wing,ala,nanap/nanapen,WING1,p132,
jiv,17,17,0.773,wing,ala,nánap,WING1,p43,
acu,17,17,0.773,wing,ala,nanáp,WING1,,
agr,18,18,0.771,flesh/meat,meat/flesh,nɨhɨ,NA,,
hub,18,18,0.771,flesh/meat,carne,namag/namagken,MEAT1,p145,
jiv,18,18,0.771,flesh/meat,carne,namánk,MEAT1,p125,
acu,18,18,0.771,flesh/meat,carne,namáng,MEAT1,,
agr,19,19,0.768,arm/hand,hand,uwɨ-h,HAND1,,
agr,19,19,0.768,arm/hand,arm,kuntu,ARM1,,
hub,19,19,0.768,arm/hand,brazo,kuntu/kuntun,ARM1,p141,
hub,19,19,0.768,arm/hand,mano,uwej/uwejan,HAND1,p184,
jiv,19,19,0.768,arm/hand,brazo,kuntu,ARM1,p106,
jiv,19,19,0.768,arm/hand,mano,ewej/uwej,HAND1,p434,
acu,19,19,0.768,arm/hand,mano,uwéj,HAND1,no entry for brazo,
agr,20,20,0.766,fly (noun),fly,kaap,FLY1,,
hub,20,20,0.766,fly,mosca,yantsakap/yantsakapin,,p187,
jiv,20,20,0.766,fly,mosca,kaap,FLY1,p464,
acu,20,20,0.766,fly,mosca,NA,,no entry for mosca,
agr,21,20,0.766,night,night,kashi,NIGHT1,,
hub,21,20,0.766,night,noche,suwe/suwen,,p189,
hub,21,20,0.766,night,noche,kashi,NIGHT1,p189,
jiv,21,20,0.766,night,noche,kashi,NIGHT1,p479,
acu,21,20,0.766,night,noche,káshi,NIGHT1,,
agr,22,22,0.764,ear,ear,kuwish,EAR1,,
hub,22,22,0.764,ear,oreja,kuish/kuishin,EAR1,p191,
jiv,22,22,0.764,ear,oreja,kuish,EAR1,p496,
acu,22,22,0.764,ear,oreja,kuwísh,EAR1,,
agr,23,23,0.76,neck,neck,suwɨ,,,
hub,23,23,0.76,neck,cuello,yasuch/yasuchin,,p153,
hub,23,23,0.76,neck,cuello,kuntej/kuntejan,NECK1,p153,
jiv,23,23,0.76,neck,cuello,kuntuj,NECK1,p176,
