language,adapted-concept-num,concept-number,composite-score,concepticonID,leipzig-jakarta-concept,concept-original-reference,IPA,cognates,page_num,comments,
agr,1,1,0.901,221,fire,fire,hii kɨɨ'ku,FIRE1,,,
hub,1,1,0.901,221,fire,fuego,jii,FIRE1,p169,,
hub,1,1,0.901,221,fire,fuego,jiin,FIRE1,p169,,
jiv,1,1,0.901,221,fire,fuego,jii,FIRE1,,,
acu,1,1,0.901,221,fire,fuego,ji,FIRE1,,,
agr,2,2,0.864,1221,nose,nose,nuhi,NOSE1,,,
hub,2,2,0.864,1221,nose,nariz,nuji/nujin,NOSE1,p189,,
jiv,2,2,0.864,1221,nose,nariz,nuji,NOSE1,p474,,
acu,2,2,0.864,1221,nose,nariz,nují,NOSE1,,,
acu,2,2,0.864,1221,nose,nariz,múshu,NA,,delete,
agr,3,3,0.832,695,to go,go,wɨta,GO1,,,
hub,3,3,0.832,695,to go,ir,weta,GO1,,,
hub,3,3,0.832,695,to go,ir,wetsa/weamu,NA,p176,delete,
jiv,3,3,0.832,695,to go,ir,we-tin,GO1,,,
jiv,3,3,0.832,695,to go,ir,ashí-ak-tin,NA,p389,delete,
acu,3,3,0.832,695,to go,"ir, irse",wétin,GO1,,,
agr,4,4,0.831,948,water,water/rain,jumi,WATER1,,,
hub,4,4,0.831,948,water,agua,entsa,WATER1,,,
hub,4,4,0.831,948,water,agua,entsan,NA,p131,delete,
hub,4,4,0.831,948,water,agua,jumi/jumin,WATER1,p131,,
hub,4,4,0.831,948,water,agua,jumin,NA,,delete,
jiv,4,4,0.831,948,water,agua,entsa,WATER2,,,
acu,4,4,0.831,948,water,agua,jumi,WATER1,,,
agr,5,5,0.817,674,mouth,mouth,wɨnu,MOUTH1,,,
hub,5,5,0.817,674,mouth,boca,wene,MOUTH1,p141,,
hub,5,5,0.817,674,mouth,boca,wenen,NA,,delete,
jiv,5,5,0.817,674,mouth,boca,wene,MOUTH1,,,
acu,5,5,0.817,674,mouth,boca,jángke,NA,,keep,
acu,5,5,0.817,674,mouth,boca (su),jangké,NA,,delete,
acu,5,5,0.817,674,mouth,boca (tu),jángekem,NA,,delete,
agr,6,6,0.808,1205,tongue,tongue,i-dai,TONGUE1,,,
hub,6,6,0.808,1205,tongue,lengua,inai/inain,TONGUE1,p179,,
jiv,6,6,0.808,1205,tongue,lengua,iniai,TONGUE2,p409,,
acu,6,6,0.808,1205,tongue,lengua,inái,TONGUE1,,,
acu,6,6,0.808,1205,tongue,lengua,iniái,TONGUE2,,,
agr,7,7,0.805,946,blood,blood,numpa,BLOOD1,,,
hub,7,7,0.805,946,blood,sangre,numpa,BLOOD1,p208,,
hub,7,7,0.805,946,blood,sangre,numpan,NA,,delete,
jiv,7,7,0.805,946,blood,sangre,numpa,BLOOD1,p586,,
acu,7,7,0.805,946,blood,sangre,numpa,BLOOD1,,,
agr,8,7,0.805,1394,bone,bone,ukunch,BONE1,,,
hub,8,7,0.805,1394,bone,hueso,ukunch,BONE1,p174,,
hub,8,7,0.805,1394,bone,hueso,ukunchin,NA,,delete,
jiv,8,7,0.805,1394,bone,hueso,ukunch',BONE1,p354,,
acu,8,7,0.805,1394,bone,hueso,kunch,NA,,delete,
acu,8,7,0.805,1394,bone,hueso,ukúnch,BONE1,,,
agr,9,9,0.798,1213,2nd-person singular pronoun (you),you (singular),amɨ,YOU1,,,
hub,9,9,0.798,1213,2nd-person singular pronoun (you),tú,ame,YOU1,p217,,
hub,9,9,0.798,1213,2nd-person singular pronoun (you),tú,amina,NA,,delete,
jiv,9,9,0.798,1213,2nd-person singular pronoun (you),tú,ame,YOU1,p639,,
acu,9,9,0.798,1213,2nd-person singular pronoun (you),tú,áme,YOU1,,,
agr,10,9,0.798,670,root,root,kagka'pɨ,ROOT1,,reassess,
hub,10,9,0.798,670,root,raíz,kagkap/kagkapen,ROOT1,p202,reassess,
jiv,10,9,0.798,670,root,raíz,tserup,NA,p557,keep,
acu,10,9,0.798,670,root,NA,NA,NA,,keep,
agr,11,11,0.796,1446,to come,come,minit,NA,,keep,
hub,11,11,0.796,1446,to come,venir,winitsa/winamu/winit,COME1,p219,reassess,
hub,11,11,0.796,1446,to come,venir,taatsa/taamu/taata,COME2,p219,reassess,
jiv,11,11,0.796,1446,to come,venir,taa,COME2,p655,reassess,
acu,11,11,0.796,1446,to come,venir,winítin,COME1,,reassess,
agr,12,12,0.783,1402,breast,breast (of woman),munchu,BREAST1,,,
hub,12,12,0.783,1402,breast,seno,muntsu,BREAST1,p208,,
hub,12,12,0.783,1402,breast,seno,muntsun,NA,,delete,
jiv,12,12,0.783,1402,breast,seno,muntsu,BREAST1,p591,,
jiv,12,12,0.783,1402,breast,seno,waa,NA,,delete,
acu,12,12,0.783,1402,breast,"pecho, teta, seno",múntsu,BREAST1,,,
acu,12,12,0.783,1402,breast,pecho,netsép,NA,,delete,
agr,13,13,0.782,658,rain,rain(noun),jumi,RAIN1,,,
hub,13,13,0.782,658,rain,lluvia,jumi/jumin,RAIN1,p182,,
jiv,13,13,0.782,658,rain,lluvia,jumi jutaa,RAIN1,p423,,
acu,13,13,0.782,658,rain,lluvia,júmi,RAIN1,,,
agr,14,14,0.776,1209,1st-person singular pronoun (I/me),I,wi,I1,,,
hub,14,14,0.776,1209,1st-person singular pronoun (I/me),yo,wi,I1,p221,,
jiv,14,14,0.776,1209,1st-person singular pronoun (I/me),yo,wi,I1,p674,,
acu,14,14,0.776,1209,1st-person singular pronoun (I/me),yo,wíkia,NA,,keep,
agr,15,15,0.774,1405,name,name,daahi,NAME1,,,
hub,15,15,0.774,1405,name,nombre,naari/naarin,NAME1,p190,,
jiv,15,15,0.774,1405,name,nombre,naa,NAME1,p480,,
acu,15,15,0.774,1405,name,mi nombre,náar,NAME1,no entry for nombre,,
agr,16,15,0.774,1392,louse,louse,tɨma,LOUSE1,,,
hub,16,15,0.774,1392,louse,piojo,tema,LOUSE1,p198,,
hub,16,15,0.774,1392,louse,piojo,teman,NA,,delete,
jiv,16,15,0.774,1392,louse,piojo,tema,LOUSE1,p527,,
acu,16,15,0.774,1392,louse,piojo,téma,LOUSE1,,,
agr,17,17,0.773,1257,wing,wing,nanapɨ,WING1,,,
hub,17,17,0.773,1257,wing,ala,nanap/nanapen,WING1,p132,,
jiv,17,17,0.773,1257,wing,ala,nánap,WING1,p43,,
acu,17,17,0.773,1257,wing,ala,nanáp,WING1,,,
agr,18,18,0.771,634,flesh/meat,meat/flesh,nɨhɨ,NA,,keep,
hub,18,18,0.771,634,flesh/meat,carne,namag,MEAT1,p145,,
hub,18,18,0.771,634,flesh/meat,carne,namagken,NA,,delete,
