agr_hub_jiv_acu,enviornment,concept,comments
h:j:j:j,#_,"FIRE1, HAND1",word-initial
ɨ:e:e:e,any,"GO1, MOUTH1, YOU1, LOUSE1, HAND1, WIND1, GRIND1",
d:n:n:n,i_V,"TONGUE1, TONGUE2, NAME1, TOOTH1, WIND1, GRIND1",V= vowel
h:r:NA:r,_#,NAME1,word-final
ɨ:NA:NA:NA,_#,WING1,word-final
NA:g:nk:ng,_#,"MEAT1, WIDE1",word-final
w:NA:NA:w,u_i,EAR1,word-medial
NA:e:u:u,t_j,NECK1,word-medial
NA:ch:sh:NA,a_a,FAR2,word-medial
g:NA:NA:NA,e_a,HOUSE1,coda
au:au:a:au,_#,BITTER,word-final
m:NA:NA:NA,#_,BIG,word-inital
NA:NA:t:t,_#,BIG,word-final
NA:NA:NA:j,#_,BIG,word-final
h:r:r:r,a_i,"WHAT1, NEW1, HARD1",coda
NA:NA:m:NA,_#,WHAT,word-final
g:r:r:r,_#,GOOD1,word-final
b:m:m:b,#_,"SUCK1, THIGH1",word-initial
ɨ:a:e:e,#_,LONG1,word-initial
k:NA:NA:NA,_#,IN1,word-final
NA:NA:u:j,#_,BIG2,word-inital
ɨ:NA:NA:NA,_#,ROOT1,word-final
m:w:NA:w,#_,COME1,word-initial
b:u:u:j,#_,CRY1,word-intial
