language,adapted-concept-num,concept-number,composite-score,concepticonID,leipzig-jakarta-concept,concept-original-reference,IPA,cognates,comments
agr,1,1,0.901,221,fire,fire,hii kɨɨ'ku,FIRE1,
hub,1,1,0.901,221,fire,fuego,jii,FIRE1,
hub,1,1,0.901,221,fire,fuego,jiin,FIRE1,
jiv,1,1,0.901,221,fire,fuego,jii,FIRE1,
acu,1,1,0.901,221,fire,fuego,ji,FIRE1,
agr,2,2,0.864,1221,nose,nose,nuhi,NOSE1,
hub,2,2,0.864,1221,nose,nariz,nuji/nujin,NOSE1,
jiv,2,2,0.864,1221,nose,nariz,nuji,NOSE1,
acu,2,2,0.864,1221,nose,nariz,nují,NOSE1,
agr,3,3,0.832,695,to go,go,wɨta,GO1,
hub,3,3,0.832,695,to go,ir,weta,GO1,
jiv,3,3,0.832,695,to go,ir,we-tin,GO1,
acu,3,3,0.832,695,to go,"ir, irse",wétin,GO1,
agr,4,4,0.831,948,water,water/rain,jumi,WATER1,
hub,4,4,0.831,948,water,agua,entsa,WATER1,
hub,4,4,0.831,948,water,agua,jumi/jumin,WATER1,
jiv,4,4,0.831,948,water,agua,entsa,WATER2,
acu,4,4,0.831,948,water,agua,jumi,WATER1,
agr,5,5,0.817,674,mouth,mouth,wɨnu,MOUTH1,
hub,5,5,0.817,674,mouth,boca,wene,MOUTH1,
jiv,5,5,0.817,674,mouth,boca,wene,MOUTH1,
acu,5,5,0.817,674,mouth,boca,jángke,NA,
agr,6,6,0.808,1205,tongue,tongue,i-dai,TONGUE1,
hub,6,6,0.808,1205,tongue,lengua,inai/inain,TONGUE1,
jiv,6,6,0.808,1205,tongue,lengua,iniai,TONGUE2,
acu,6,6,0.808,1205,tongue,lengua,inái,TONGUE1,
acu,6,6,0.808,1205,tongue,lengua,iniái,TONGUE2,
agr,7,7,0.805,946,blood,blood,numpa,BLOOD1,
hub,7,7,0.805,946,blood,sangre,numpa,BLOOD1,
jiv,7,7,0.805,946,blood,sangre,numpa,BLOOD1,
acu,7,7,0.805,946,blood,sangre,numpa,BLOOD1,
agr,8,7,0.805,1394,bone,bone,ukunch,BONE1,
hub,8,7,0.805,1394,bone,hueso,ukunch,BONE1,
jiv,8,7,0.805,1394,bone,hueso,ukunch',BONE1,
acu,8,7,0.805,1394,bone,hueso,ukúnch,BONE1,
agr,9,9,0.798,1213,2nd-person singular pronoun (you),you (singular),amɨ,YOU1,
hub,9,9,0.798,1213,2nd-person singular pronoun (you),tú,ame,YOU1,
jiv,9,9,0.798,1213,2nd-person singular pronoun (you),tú,ame,YOU1,
acu,9,9,0.798,1213,2nd-person singular pronoun (you),tú,áme,YOU1,
agr,10,9,0.798,670,root,root,kagka'pɨ,ROOT1,
hub,10,9,0.798,670,root,raíz,kagkap,ROOT1,
jiv,10,9,0.798,670,root,raíz,tserup,NA,
acu,10,9,0.798,670,root,NA,NA,NA,
agr,11,11,0.796,1446,to come,come,minit,COME1,
hub,11,11,0.796,1446,to come,venir,winit,COME1,
hub,11,11,0.796,1446,to come,venir,taatsa/taamu/taata,NA,
jiv,11,11,0.796,1446,to come,venir,taa,NA,
acu,11,11,0.796,1446,to come,venir,winítin,COME1,
agr,12,12,0.783,1402,breast,breast (of woman),munchu,BREAST1,
hub,12,12,0.783,1402,breast,seno,muntsu,BREAST1,
jiv,12,12,0.783,1402,breast,seno,muntsu,BREAST1,
acu,12,12,0.783,1402,breast,"pecho, teta, seno",múntsu,BREAST1,
agr,13,13,0.782,658,rain,rain(noun),jumi,RAIN1,
hub,13,13,0.782,658,rain,lluvia,jumi/jumin,RAIN1,
jiv,13,13,0.782,658,rain,lluvia,jumi jutaa,RAIN1,
acu,13,13,0.782,658,rain,lluvia,júmi,RAIN1,
agr,14,14,0.776,1209,1st-person singular pronoun (I/me),I,wi,I1,
hub,14,14,0.776,1209,1st-person singular pronoun (I/me),yo,wi,I1,
jiv,14,14,0.776,1209,1st-person singular pronoun (I/me),yo,wi,I1,
